pygame 2.6.1 (SDL 2.28.4, Python 3.12.10)
Hello from the pygame community. https://www.pygame.org/contribute.html
Track 0: allstar
MetaMessage('track_name', name='allstar', time=0)
MetaMessage('text', text='By Smash Mouth', time=0)
MetaMessage('copyright', text='Copyright © 1999 by Smash Mouth', time=0)
MetaMessage('copyright', text='All Rights Reserved', time=0)
MetaMessage('text', text='Generated by NoteWorthy Composer', time=0)
MetaMessage('set_tempo', tempo=555555, time=0)
MetaMessage('key_signature', key='G', time=0)
MetaMessage('time_signature', numerator=4, denominator=4, clocks_per_click=24, notated_32nd_notes_per_beat=8, time=0)
MetaMessage('end_of_track', time=0)
Track 1: Staff
MetaMessage('midi_port', port=0, time=0)
MetaMessage('track_name', name='Staff', time=0)
program_change channel=0 program=29 time=0
control_change channel=0 control=7 value=127 time=0
control_change channel=0 control=10 value=64 time=0
note_on channel=0 note=54 velocity=110 time=576
note_on channel=0 note=54 velocity=0 time=160
note_on channel=0 note=61 velocity=110 time=32
note_on channel=0 note=61 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=160
note_on channel=0 note=56 velocity=110 time=32
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=59 velocity=110 time=2
note_on channel=0 note=59 velocity=0 time=190
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=98
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=61 velocity=110 time=2
note_on channel=0 note=61 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=51 velocity=110 time=2
note_on channel=0 note=51 velocity=0 time=190
note_on channel=0 note=49 velocity=110 time=2
note_on channel=0 note=49 velocity=0 time=256
note_on channel=0 note=54 velocity=110 time=224
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=61 velocity=110 time=2
note_on channel=0 note=61 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=59 velocity=110 time=2
note_on channel=0 note=59 velocity=0 time=190
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=61 velocity=110 time=2
note_on channel=0 note=61 velocity=0 time=190
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=58 velocity=110 time=2
note_on channel=0 note=58 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=190
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=54 velocity=110 time=2
note_on channel=0 note=54 velocity=0 time=94
note_on channel=0 note=56 velocity=110 time=2
note_on channel=0 note=56 velocity=0 time=190
note_on channel=0 note=51 velocity=110 time=2
note_on channel=0 note=51 velocity=0 time=256
